id,question,product_family,expected_sql,generated_sql,filters,retrieved_tables,match,gen_error,exp_rows,gen_rows,elapsed_s
macro_01_high_mag,List all macro lenses with maximum magnification above 2x,macro,"SELECT model_name, magnification_max FROM macro_lenses WHERE magnification_max > 2;","SELECT model_name, magnification_max
FROM macro_lenses
WHERE magnification_max > 2.0","{""product_type"": ""macro""}",['macro_lenses'],True,,0,0,11.17
macro_02_lightest,What is the lightest macro lens?,macro,"SELECT model_name, weight_g FROM macro_lenses WHERE weight_g IS NOT NULL ORDER BY weight_g ASC LIMIT 1;","SELECT model_name, weight_g FROM macro_lenses WHERE weight_g IS NOT NULL ORDER BY weight_g ASC LIMIT 1;","{""product_type"": ""macro""}",['macro_lenses'],True,,1,1,4.53
zoom_01_all,Show all zoom lenses with their magnification range,zoom,"SELECT model_name, magnification_min, magnification_max FROM zoom_lenses;","SELECT model_name, magnification_raw, magnification_min, magnification_max
FROM zoom_lenses;","{""product_type"": ""zoom""}",['zoom_lenses'],True,,5,5,3.66
zoom_02_motorized,Which zoom lenses are motorized?,zoom,"SELECT model_name, zoom_type FROM zoom_lenses WHERE zoom_type ILIKE '%motorized%';","SELECT model_name, zoom_method
FROM zoom_lenses
WHERE zoom_method ILIKE '%motor%';","{""product_type"": ""zoom""}",['zoom_lenses'],False,,0,0,5.15
spec_01_swir,Show all spectral lenses that work above 1000nm wavelength,spectral,"SELECT model_name, wavelength_min_nm, wavelength_max_nm FROM spectral_lenses WHERE wavelength_max_nm > 1000;","SELECT model_name, spectral_type, wavelength_min_nm, wavelength_max_nm, focus_length_mm
FROM spectral_lenses
WHERE wavelength_max_nm > 1000;","{""product_type"": ""spectral""}",['spectral_lenses'],True,,10,10,5.6
spec_02_cheapest,What is the cheapest spectral lens?,spectral,"SELECT model_name, list_price FROM spectral_lenses WHERE list_price IS NOT NULL ORDER BY list_price ASC LIMIT 1;","SELECT model_name, list_price FROM spectral_lenses WHERE list_price IS NOT NULL ORDER BY list_price ASC LIMIT 1;","{""product_type"": ""spectral""}",['spectral_lenses'],True,,1,1,3.72
m12_01_lightest,What is the lightest M12 mount lens?,m12_mount,"SELECT model_name, weight_g FROM m12_mount_lenses WHERE weight_g IS NOT NULL ORDER BY weight_g ASC LIMIT 1;","SELECT model_name, weight_g FROM m12_mount_lenses WHERE weight_g IS NOT NULL ORDER BY weight_g ASC LIMIT 1;","{""product_type"": ""m12_mount""}",['m12_mount_lenses'],True,,1,1,3.96
m12_02_megapixel,Show M12 lenses with megapixel rating above 5,m12_mount,"SELECT model_name, megapixel_rating FROM m12_mount_lenses WHERE megapixel_rating > 5;","SELECT model_name, megapixel_rating, focus_length_mm, f_no_min, f_no_max
FROM m12_mount_lenses
WHERE megapixel_rating > 5;","{""product_type"": ""m12_mount""}",['m12_mount_lenses'],True,,0,0,6.69
micro_01_highest_mag,Which microscope lens has the highest magnification?,microscope,"SELECT model_name, magnification_max FROM microscope_lenses WHERE magnification_max IS NOT NULL ORDER BY magnification_max DESC LIMIT 1;","SELECT model_name, magnification_max
FROM microscope_lenses
WHERE magnification_max IS NOT NULL
ORDER BY magnification_max DESC
LIMIT 1;","{""product_type"": ""microscope""}","['microscope_lenses', 'magnifying_lenses']",True,,1,1,3.82
micro_02_na,Show microscope lenses with numerical aperture above 0.3,microscope,"SELECT model_name, numerical_aperture FROM microscope_lenses WHERE numerical_aperture > 0.3;","SELECT model_name, numerical_aperture
FROM microscope_lenses
WHERE numerical_aperture > 0.3;","{""product_type"": ""microscope""}","['microscope_lenses', 'magnifying_lenses']",True,,3,3,6.4
lf_01_cheapest,What is the cheapest large format lens?,large_format,"SELECT model_name, list_price FROM large_format_lenses WHERE list_price IS NOT NULL ORDER BY list_price ASC LIMIT 1;","SELECT model_name, list_price FROM large_format_lenses WHERE list_price IS NOT NULL ORDER BY list_price ASC LIMIT 1;","{""product_type"": ""large_format""}","['large_format_lenses', 'large_format_autofocus_lenses']",True,,1,1,4.9
adapt_01_all,Show all available adapters with their mount types,accessory,"SELECT model_name, mount_primary_raw, mount_secondary_raw FROM adapters;","SELECT model_name, mount_primary_raw, mount_secondary_raw
FROM adapters;","{""product_type"": ""accessory""}","['adapters', 'lens_holders', 'extension_rings']",True,,29,29,4.15
insp_01_cheapest,What is the cheapest 360 inspection system?,inspection,"SELECT model_name, list_price FROM inspection_360_systems WHERE list_price IS NOT NULL ORDER BY list_price ASC LIMIT 1;","SELECT model_name, list_price FROM inspection_360_systems WHERE list_price IS NOT NULL ORDER BY list_price ASC LIMIT 1;","{""product_type"": ""inspection""}",['inspection_360_systems'],True,,1,1,4.79
av_01_all_prices,Show all anti-vibration lenses with their price and focal length,anti_vibration,"SELECT model_name, list_price, focus_length_mm FROM anti_vibration_lenses;","SELECT model_name, list_price, focus_length_mm
FROM anti_vibration_lenses;","{""product_type"": ""anti_vibration""}",['anti_vibration_lenses'],True,,15,15,7.0
af_01_fastest_response,Which autofocus lens has the fastest response time?,autofocus,"SELECT model_name, response_time_ms FROM autofocus_lenses WHERE response_time_ms IS NOT NULL ORDER BY response_time_ms ASC LIMIT 1;","SELECT model_name, response_time_ms FROM autofocus_lenses WHERE response_time_ms IS NOT NULL ORDER BY response_time_ms ASC LIMIT 1;","{""product_type"": ""autofocus""}",['autofocus_lenses'],True,,1,1,3.63
