id,question,focus,expected_sql,generated_sql,filters_extracted,num_chunks_retrieved,match,failure_category,gen_execution_error,exp_execution_error,expected_rows,generated_rows,elapsed_seconds
q11_high_magnification,What is the highest optical magnification ratio supported by the 16K 3.5 micron lenses?,Tests max mapping and DESC sorting for magnification limits.,"SELECT model_name, magnification_max FROM line_scan_lens_16k3_5u ORDER BY magnification_max DESC LIMIT 1;","SELECT model_name, magnification_max
FROM line_scan_lens_16k3_5u
ORDER BY magnification_max DESC
LIMIT 1;","{""resolution_target"": ""16K"", ""pixel_pitch_um"": 3.5}",1,True,,,,1,1,29.35
q12_heavy_lens_filtering,List all 8K 7u lenses that weigh more than 400 grams.,Tests simple greater-than numerical filtering on physical dimensions.,"SELECT model_name, weight_g FROM line_scan_lens_8k7u WHERE weight_g > 400;","SELECT model_name, weight_g
FROM line_scan_lens_8k7u
WHERE weight_g > 400;","{""resolution_target"": ""8K"", ""pixel_pitch_um"": 7.0}",1,True,,,,1,1,30.95
q13_fov_terminology,Compare the angular field of view and linear field of view for 16K 5u lenses.,Tests distinction between angular (degrees) and linear (mm) FOV terminology.,"SELECT model_name, fov_degrees, fov_mm FROM line_scan_lens_16k5u;","SELECT model_name, fov_degrees, fov_mm
FROM line_scan_lens_16k5u;","{""resolution_target"": ""16K"", ""pixel_pitch_um"": 5.0}",1,True,,,,16,16,33.56
q14_flange_distance_exact,Which 8K 5 micron lenses have a flange distance of exactly 12mm?,Tests exact equality operator on conjugate parameters.,"SELECT model_name, flange_distance FROM line_scan_lens_8k5u WHERE flange_distance = 12;","SELECT model_name, flange_distance
FROM line_scan_lens_8k5u
WHERE flange_distance = 12;","{""resolution_target"": ""8K"", ""pixel_pitch_um"": 5.0}",1,True,,,,4,4,28.68
q15_compact_thread_search,Find compact new series 4K 7u lenses with an outer diameter under 50mm that have a filter thread.,Tests combining physical constraints with IS NOT NULL logic.,"SELECT model_name, size_diameter_mm, filter_thread_raw FROM new_series_line_scan_lens_4k7u WHERE size_diameter_mm < 50 AND filter_thread_raw IS NOT NULL;","SELECT model_name, size_diameter_mm, filter_thread_raw
FROM new_series_line_scan_lens_4k7u
WHERE size_diameter_mm < 50 AND filter_thread_raw IS NOT NULL;","{""resolution_target"": ""4K"", ""is_new_series"": true}",1,True,,,,0,0,29.02
q16_minimum_aperture_physics,Which coaxial illumination lens can be stopped down the most (smallest minimum aperture)?,Tests prompt engineering glossary ('minimum aperture' = f_no_max) and inverse numerical relationship (highest number = smallest physical aperture).,"SELECT model_name, f_no_max FROM coaxial_illumination_line_scan_lens ORDER BY f_no_max DESC LIMIT 1;","SELECT model_name, f_no_min, f_no_raw
FROM coaxial_illumination_line_scan_lens
ORDER BY f_no_max DESC
LIMIT 1;","{""is_coaxial"": true}",1,False,result_mismatch,,,1,1,31.22
q17_exact_focal_length,Are there any 16K 3.5u lenses with a focal length of 60mm?,Tests exact mapping to focus_length_mm.,"SELECT model_name, focus_length_mm FROM line_scan_lens_16k3_5u WHERE focus_length_mm = 60;","SELECT model_name, focus_length_mm
FROM line_scan_lens_16k3_5u
WHERE focus_length_mm = 60;","{""resolution_target"": ""16K"", ""pixel_pitch_um"": 3.5}",1,True,,,,1,1,29.92
q18_price_sorting,Show 8K 5u lenses sorted from cheapest to most expensive.,Tests text-to-SQL logic mapping 'cheapest' to ASC sorting on list_price.,"SELECT model_name, list_price FROM line_scan_lens_8k5u ORDER BY list_price ASC;","SELECT model_name, list_price
FROM line_scan_lens_8k5u
ORDER BY list_price ASC;","{""resolution_target"": ""8K"", ""pixel_pitch_um"": 5.0}",1,True,,,,5,5,29.3
q19_extreme_standoff,"Find 4K 7 micron lenses designed for very long standoff distances, over 300mm.",Tests alias extraction ('standoff' -> wd_mm) combined with high threshold.,"SELECT model_name, wd_mm FROM line_scan_lens_4k7u WHERE wd_mm > 300;","SELECT model_name, wd_mm, focus_length_mm
FROM line_scan_lens_4k7u
WHERE wd_mm > 300;","{""resolution_target"": ""4K"", ""pixel_pitch_um"": 7.0}",2,True,,,,4,4,54.18
q20_coaxial_fov,What is the maximum and minimum magnification for coaxial line scan lenses?,Tests retrieval of multiple related attributes (min/max pairs) on a non-standard table name.,"SELECT model_name, magnification_min, magnification_max FROM coaxial_illumination_line_scan_lens;","SELECT MAX(magnification_max) AS max_magnification, MIN(magnification_min) AS min_magnification
FROM coaxial_illumination_line_scan_lens;","{""is_coaxial"": true}",1,False,wrong_aggregation,,,6,1,38.26
